siteID,day,hour,year,month,weekday,gps_lat,gps_lon,value,umapX,umapY
08BEAC0287B6,23,8,2020,7,4,24.15515067,120.5821589,"[32.0, 31.0, 26.22222222, 28.6, 27.2, 41.11111111, 31.3]",3.2752755,4.529367
08BEAC0287B6,23,9,2020,7,4,24.15515067,120.5821589,"[31.0, 26.22222222, 28.6, 27.2, 41.11111111, 31.3, 15.3]",4.716649,2.2931685
08BEAC0287B6,23,10,2020,7,4,24.15515067,120.5821589,"[26.22222222, 28.6, 27.2, 41.11111111, 31.3, 15.3, 12.25]",6.862295,1.9776005
08BEAC0287B6,23,11,2020,7,4,24.15515067,120.5821589,"[28.6, 27.2, 41.11111111, 31.3, 15.3, 12.25, 8.8]",8.7297125,1.7201399
08BEAC0287B6,23,12,2020,7,4,24.15515067,120.5821589,"[27.2, 41.11111111, 31.3, 15.3, 12.25, 8.8, 6.9]",11.440923,3.6292167
08BEAC0287B6,23,13,2020,7,4,24.15515067,120.5821589,"[41.11111111, 31.3, 15.3, 12.25, 8.8, 6.9, 7.4]",12.646991,2.73804
08BEAC028814,23,8,2020,7,4,24.277889,120.674903,"[30.2, 30.7, 28.625, 29.9, 30.4, 33.9, 38.55555556]",3.4970958,4.800496
08BEAC028814,23,9,2020,7,4,24.277889,120.674903,"[30.7, 28.625, 29.9, 30.4, 33.9, 38.55555556, 20.5]",4.6279526,3.1815364
08BEAC028814,23,10,2020,7,4,24.277889,120.674903,"[28.625, 29.9, 30.4, 33.9, 38.55555556, 20.5, 9.777777777999999]",6.4270544,2.2790852
08BEAC028814,23,11,2020,7,4,24.277889,120.674903,"[29.9, 30.4, 33.9, 38.55555556, 20.5, 9.777777777999999, 4.555555556]",8.222835,1.7402297
08BEAC028814,23,12,2020,7,4,24.277889,120.674903,"[30.4, 33.9, 38.55555556, 20.5, 9.777777777999999, 4.555555556, 3.8]",9.370463,1.54425
08BEAC028814,23,13,2020,7,4,24.277889,120.674903,"[33.9, 38.55555556, 20.5, 9.777777777999999, 4.555555556, 3.8, 5.8888888889999995]",12.420981,3.4473422
08BEAC028814,23,14,2020,7,4,24.277889,120.674903,"[38.55555556, 20.5, 9.777777777999999, 4.555555556, 3.8, 5.8888888889999995, 6.7]",13.496611,2.3993394
08BEAC028840,19,17,2020,7,7,25.002,121.137,"[10.9, 9.2, 14.9, 15.55555556, 11.9, 24.11111111, 38.33333333]",-0.96145916,2.515631
08BEAC028840,19,18,2020,7,7,25.002,121.137,"[9.2, 14.9, 15.55555556, 11.9, 24.11111111, 38.33333333, 39.1]",-0.24929701,3.5947607
08BEAC028840,19,19,2020,7,7,25.002,121.137,"[14.9, 15.55555556, 11.9, 24.11111111, 38.33333333, 39.1, 34.0]",0.94402534,4.1484365
08BEAC028840,19,20,2020,7,7,25.002,121.137,"[15.55555556, 11.9, 24.11111111, 38.33333333, 39.1, 34.0, 31.4]",2.7252948,2.7263167
08BEAC028840,19,21,2020,7,7,25.002,121.137,"[11.9, 24.11111111, 38.33333333, 39.1, 34.0, 31.4, 29.6]",4.397675,3.3286977
08BEAC028840,19,22,2020,7,7,25.002,121.137,"[24.11111111, 38.33333333, 39.1, 34.0, 31.4, 29.6, 27.9]",6.514457,3.9229949
08BEAC028840,19,23,2020,7,7,25.002,121.137,"[38.33333333, 39.1, 34.0, 31.4, 29.6, 27.9, 26.0]",7.4978094,4.498925
08BEAC028840,20,0,2020,7,1,25.002,121.137,"[39.1, 34.0, 31.4, 29.6, 27.9, 26.0, 24.55555556]",7.9221087,4.1746197
08BEAC028840,21,2,2020,7,2,25.002,121.137,"[11.0, 10.0, 9.2, 8.777777777999999, 9.1, 25.6, 46.6]",-1.8713558,2.9238598
08BEAC028840,21,3,2020,7,2,25.002,121.137,"[10.0, 9.2, 8.777777777999999, 9.1, 25.6, 46.6, 27.0]",-0.5201005,4.5586233
08BEAC028840,21,4,2020,7,2,25.002,121.137,"[9.2, 8.777777777999999, 9.1, 25.6, 46.6, 27.0, 14.1]",0.59438604,5.3801875
08BEAC028840,21,5,2020,7,2,25.002,121.137,"[8.777777777999999, 9.1, 25.6, 46.6, 27.0, 14.1, 4.6]",5.5217266,0.436176
08BEAC028840,21,6,2020,7,2,25.002,121.137,"[9.1, 25.6, 46.6, 27.0, 14.1, 4.6, 4.4]",7.9294252,0.6410469
